Ref,Val,Package,PosX,PosY,Rot,Side
"C66","39pF/50V","C_0402_1005Metric",23.683573,-15.155573,180.000000,top
"C67","6.8nF/50V","C_0402_1005Metric",23.684573,-11.626573,0.000000,top
"C68","100nF","C_0402_1005Metric",63.606000,-126.073000,-90.000000,top
"C69","1uF","C_0402_1005Metric",13.165000,-107.644000,0.000000,top
"C70","1uF","C_0402_1005Metric",16.105000,-100.861000,0.000000,top
"C111","2.2uF/100V","C_1206_3216Metric",50.140573,-25.807573,0.000000,top
"C114","2.2uF/100V","C_1206_3216Metric",55.087373,-25.809373,0.000000,top
"C120","100nF/100V","C_0402_1005Metric",49.478573,-22.906773,180.000000,top
"C123","6.8nF/50V","C_0402_1005Metric",53.411173,-12.300373,0.000000,top
"C128","39pF/50V","C_0402_1005Metric",53.411173,-15.344373,0.000000,top
"C132","100nF/100V","C_0402_1005Metric",57.388573,-29.961773,90.000000,top
"C133","47uF/10V","C_0805_2012Metric",37.053573,-20.119573,180.000000,top
"C137","47uF/10V","C_0805_2012Metric",37.053573,-22.481773,180.000000,top
"C140","100nF/100V","C_0402_1005Metric",58.463573,-29.961773,90.000000,top
"C143","10uF/100V","C_2220_5650Metric",61.988573,-28.511773,90.000000,top
"D1","LED","LED_0805_2012Metric",118.101021,-66.933472,90.000000,top
"D2","SMBJ58A","CR_SM12CA-13-F_DIO",118.218573,-71.935393,0.000000,top
"D3","SMBJ58A","CR_SM12CA-13-F_DIO",118.218573,-98.011773,0.000000,top
"D4","LED_Small","LED_0805_2012Metric",89.328199,-40.132573,-90.000000,top
"D5","LED_Small","LED_0805_2012Metric",86.456141,-40.132573,-90.000000,top
"D6","LED_Small","LED_0805_2012Metric",83.584086,-40.132573,-90.000000,top
"D7","LED_Small","LED_0805_2012Metric",80.712031,-40.132573,-90.000000,top
"D8","LED_Small","LED_0805_2012Metric",72.095866,-40.141635,-90.000000,top
"D9","LED_Small","LED_0805_2012Metric",77.839976,-40.141635,-90.000000,top
"D10","ACDBC560","D_SMC",74.223573,-27.415273,90.000000,top
"D11","B560C","D_SMC",17.982573,-16.393973,-90.000000,top
"D12","1N4148W-7-F","D_SOD-123",12.604573,-58.342573,-90.000000,top
"D13","LED_Small","LED_0805_2012Metric",74.967921,-40.152573,-90.000000,top
"D15","10MQ100NTRPBF","D_SMA",119.951173,-81.436773,-90.000000,top
"D16","10MQ100NTRPBF","D_SMA",119.951173,-88.534273,90.000000,top
"D24","SMAJ51A","D_SMA",67.178573,-28.511773,90.000000,top
"D26","B560C","DO-214AB",47.137373,-16.182573,-90.000000,top
"F1","046801.5NR","Fuse_1206_3216Metric",113.018573,-73.325393,90.000000,top
"F2","LVR100S-240","Fuse_Littelfuse-LVR100",34.078573,-132.496773,180.000000,top
"F7","046801.5NR","Fuse_1206_3216Metric",113.018573,-96.630550,-90.000000,top
"FB1","FerriteBead_Small","L_0402_1005Metric",117.954578,-22.857593,0.000000,top
"FB2","FerriteBead_Small","L_0402_1005Metric",104.591473,-68.095796,0.000000,top
"FB3","FerriteBead_Small","L_0402_1005Metric",75.921980,-71.675441,-90.000000,top
"FB4","FerriteBead_Small","L_0402_1005Metric",83.191980,-71.940350,90.000000,top
"FB5","FerriteBead_Small","L_0402_1005Metric",87.660418,-113.810057,90.000000,top
"FB6","FerriteBead_Small","L_0402_1005Metric",98.103573,-81.346773,0.000000,top
"FB7","FerriteBead_Small","L_0603_1608Metric",22.888573,-28.580573,90.000000,top
"FB8","FerriteBead_Small","L_0402_1005Metric",61.873000,-126.114000,90.000000,top
"FB19","FerriteBead_Small","L_0603_1608Metric",52.635973,-28.557573,90.000000,top
"FB29","FerriteBead_Small","L_0402_1005Metric",97.708573,-77.161773,0.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",3.852000,-2.893000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",115.422000,-3.114000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",127.600000,-145.100000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",18.548573,-124.136773,0.000000,top
"FID6","Fiducial","Fiducial_1mm_Mask2mm",3.107000,-138.107000,0.000000,top
"H1","MountingHole_Pad","4882 Standoff",89.381350,-7.973601,0.000000,top
"H2","MountingHole_Pad","4882 Standoff",113.689150,-7.973601,0.000000,top
"J1","127VAC/220VAC","WJ2EDGRC-5.08-2P",26.508573,-144.391773,0.000000,top
"J2","8P8C","HC-RJ45-5JA-1-4",115.168573,-151.436773,0.000000,top
"J3","RJ45_x2","HC-RJ45-5JA-2-4",87.418573,-151.836773,0.000000,top
"J4","8P8C","HC-RJ45-5JA-1-4",59.668573,-151.436773,0.000000,top
"J5","Micro_SD_Card_Det1","CONN9_0185-02_GSW",112.172619,-122.713296,90.000000,top
"J6","Conn_01x02","KF235-5.0-2P",5.588573,-46.408573,-90.000000,top
"J7","XKNANO-113","XKNANO-113_XKB",122.611279,-33.187593,90.000000,top
"J8","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",114.534000,-127.435000,-90.000000,top
"J9","Conn_01x01","KH-IPEX-SMAKWE-B120H",3.965573,-29.631573,-90.000000,top
"J10","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",51.942000,-125.379000,0.000000,top
"J11","Conn_01x04","PinHeader_1x04_P2.54mm_Vertical",128.050000,-76.210000,0.000000,top
"J12","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",128.125000,-91.710000,180.000000,top
"J13","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",11.955000,-112.826000,0.000000,top
"J14","Conn_01x02","MX15EDGR-3.81-GN01-02P",2.282000,-106.856000,-90.000000,top
"J15","Conn_01x02","MX15EDGR-3.81-GN01-02P",2.282000,-124.439000,-90.000000,top
"J16","Conn_01x02","KF235-5.0-2P",5.643573,-59.228573,-90.000000,top
"J17","43045-0800","43045-08_00,01,02,10_",8.741573,-86.795823,-90.000000,top
"J18","47053-1000","470531000",1.388000,-95.815000,180.000000,top
"L1","8.2uH","MHCC10040-8R2M-R7",7.685573,-13.614973,180.000000,top
"L4","8.2uH","MHCC10040-8R2M-R7",37.053573,-13.490173,180.000000,top
"Q1","PDTC143ZT","SOT-23",91.312773,-66.950796,90.000000,top
"Q2","PDTC143ZT","SOT-23",87.832973,-66.950796,90.000000,top
"Q3","CSD19538Q3A","Diodes_PowerDI3333-8",113.018573,-91.610550,-90.000000,top
"Q4","PJM2302NSA-S","SOT-23",14.084573,-62.954573,90.000000,top
"Q5","CSD19538Q3A","Diodes_PowerDI3333-8",113.018573,-78.300393,90.000000,top
"Q6","PJM2302NSA-S","SOT-23",14.175000,-97.061000,180.000000,top
"R1","330R","R_0402_1005Metric",85.445373,-63.374554,90.000000,top
"R2","330R","R_0402_1005Metric",86.613773,-63.374554,90.000000,top
"R3","10k","R_0402_1005Metric",107.475021,-68.095796,180.000000,top
"R4","15k","R_0402_1005Metric",112.181279,-35.647593,0.000000,top
"R5","5k1","R_0402_1005Metric",91.312773,-63.374554,-90.000000,top
"R6","220R","R_0402_1005Metric",118.101021,-63.834672,-90.000000,top
"R7","5k1","R_0402_1005Metric",87.832973,-63.374554,-90.000000,top
"R8","50R","R_0402_1005Metric",102.317355,-113.810057,-90.000000,top
"R9","50R","R_0402_1005Metric",97.786587,-113.810057,90.000000,top
"R10","50R","R_0402_1005Metric",84.800877,-113.810057,-90.000000,top
"R11","50R","R_0402_1005Metric",80.270109,-113.810057,90.000000,top
"R12","50R","R_0402_1005Metric",101.179663,-113.810057,-90.000000,top
"R13","50R","R_0402_1005Metric",98.924279,-113.810057,90.000000,top
"R14","50R","R_0402_1005Metric",83.663185,-113.810057,-90.000000,top
"R15","50R","R_0402_1005Metric",81.407801,-113.810057,90.000000,top
"R16","50R","R_0402_1005Metric",94.413511,-113.810057,-90.000000,top
"R17","50R","R_0402_1005Metric",89.882743,-113.810057,90.000000,top
"R18","50R","R_0402_1005Metric",76.897033,-113.810057,-90.000000,top
"R19","50R","R_0402_1005Metric",72.366265,-113.810057,90.000000,top
"R20","50R","R_0402_1005Metric",93.275819,-113.810057,-90.000000,top
"R21","50R","R_0402_1005Metric",91.020435,-113.810057,90.000000,top
"R22","50R","R_0402_1005Metric",75.759341,-113.810057,-90.000000,top
"R23","50R","R_0402_1005Metric",73.503957,-113.810057,90.000000,top
"R24","75R","R_0402_1005Metric",117.780358,-133.901773,-90.000000,top
"R25","75R","R_0402_1005Metric",100.117857,-134.388813,-90.000000,top
"R26","75R","R_0402_1005Metric",84.120358,-134.388813,-90.000000,top
"R27","75R","R_0402_1005Metric",81.263930,-134.388813,-90.000000,top
"R28","75R","R_0402_1005Metric",114.923930,-133.901773,-90.000000,top
"R29","75R","R_0402_1005Metric",97.261429,-134.388813,-90.000000,top
"R30","75R","R_0402_1005Metric",78.407502,-134.388813,-90.000000,top
"R31","75R","R_0402_1005Metric",75.551074,-134.388813,-90.000000,top
"R32","75R","R_0402_1005Metric",112.067502,-133.901773,-90.000000,top
"R33","75R","R_0402_1005Metric",94.405001,-134.388813,-90.000000,top
"R34","75R","R_0402_1005Metric",66.410358,-133.901773,-90.000000,top
"R35","75R","R_0402_1005Metric",63.553930,-133.901773,-90.000000,top
"R36","75R","R_0402_1005Metric",109.211074,-133.901773,-90.000000,top
"R37","75R","R_0402_1005Metric",91.548573,-134.388813,-90.000000,top
"R38","75R","R_0402_1005Metric",60.697502,-133.901773,-90.000000,top
"R39","75R","R_0402_1005Metric",57.841074,-133.901773,-90.000000,top
"R40","10k","R_0402_1005Metric",74.863573,-71.676773,-90.000000,top
"R41","300R","R_0402_1005Metric",89.328199,-44.162711,90.000000,top
"R42","300R","R_0402_1005Metric",86.456141,-44.162711,90.000000,top
"R43","10k","R_0402_1005Metric",116.068000,-103.006000,-90.000000,top
"R44","300R","R_0402_1005Metric",83.584086,-44.162711,90.000000,top
"R45","300R","R_0402_1005Metric",80.712031,-44.162711,90.000000,top
"R46","10k","R_0402_1005Metric",88.083573,-76.996773,90.000000,top
"R47","390R","R_0402_1005Metric",76.965254,-69.671773,90.000000,top
"R48","10k","R_0402_1005Metric",72.095866,-44.171773,90.000000,top
"R49","300R","R_0402_1005Metric",77.839976,-44.171773,90.000000,top
"R50","10k","R_0402_1005Metric",97.416173,-80.012136,180.000000,top
"R51","10k","R_0402_1005Metric",100.470000,-75.836000,180.000000,top
"R52","10k","R_0402_1005Metric",117.373573,-100.876773,180.000000,top
"R53","15k","R_0402_1005Metric",125.328702,-16.562593,180.000000,top
"R54","22.1R","R_0603_1608Metric",109.521173,-81.964273,0.000000,top
"R55","47R","R_0603_1608Metric",110.301173,-74.726773,0.000000,top
"R56","10k","R_0402_1005Metric",117.954578,-25.002593,0.000000,top
"R57","NOPOP","R_0402_1005Metric",109.444578,-28.467593,90.000000,top
"R58","4k7","R_0402_1005Metric",77.839976,-51.771000,-90.000000,top
"R59","4k7","R_0402_1005Metric",74.967921,-51.771000,-90.000000,top
"R60","22.1R","R_0603_1608Metric",109.521173,-88.004273,0.000000,top
"R61","47R","R_0603_1608Metric",110.301173,-95.214273,0.000000,top
"R62","10k","R_0402_1005Metric",112.181279,-31.797593,0.000000,top
"R63","0.510R","R_0805_2012Metric",114.021173,-82.901773,-90.000000,top
"R64","0.510R","R_0805_2012Metric",112.032373,-82.901773,-90.000000,top
"R65","0.510R","R_0805_2012Metric",114.021173,-87.045894,-90.000000,top
"R66","0.510R","R_0805_2012Metric",112.032373,-87.055894,-90.000000,top
"R67","4k7","R_0402_1005Metric",57.841074,-125.851000,-90.000000,top
"R68","4k7","R_0402_1005Metric",56.412860,-125.886000,-90.000000,top
"R69","10k","R_0402_1005Metric",106.730181,-119.986773,180.000000,top
"R70","523k","R_0402_1005Metric",23.502573,-24.062573,0.000000,top
"R71","10k","R_0402_1005Metric",12.391573,-51.699573,0.000000,top
"R72","60k4","R_0402_1005Metric",28.123573,-17.426573,90.000000,top
"R73","10k","R_0402_1005Metric",106.730181,-118.926773,180.000000,top
"R74","10k","R_0402_1005Metric",108.885000,-122.082000,180.000000,top
"R75","13k","R_0402_1005Metric",24.164573,-13.353573,90.000000,top
"R76","84k5","R_0402_1005Metric",25.921573,-24.211973,0.000000,top
"R77","162k","R_0402_1005Metric",27.484573,-22.877973,0.000000,top
"R78","4k3","R_0402_1005Metric",26.987573,-17.419573,-90.000000,top
"R79","10k","R_0402_1005Metric",14.772573,-57.179573,90.000000,top
"R80","180R","R_0402_1005Metric",17.087000,-60.109000,180.000000,top
"R81","10k","R_0402_1005Metric",74.967921,-44.165573,90.000000,top
"R82","4k7","R_0402_1005Metric",88.225000,-87.606000,-90.000000,top
"R83","4k7","R_0402_1005Metric",93.158000,-87.606000,-90.000000,top
"R84","4k7","R_0402_1005Metric",90.592000,-87.606000,-90.000000,top
"R85","4k7","R_0402_1005Metric",95.725750,-87.606000,-90.000000,top
"R86","4k7","R_0402_1005Metric",98.226000,-87.606000,-90.000000,top
"R87","10k","R_0402_1005Metric",125.255000,-95.972000,0.000000,top
"R88","180R","R_0402_1005Metric",13.185000,-94.079000,180.000000,top
"R89","2k2","R_0402_1005Metric",13.185000,-100.861000,0.000000,top
"R90","4k7","R_0402_1005Metric",17.087000,-61.785000,180.000000,top
"R91","4k7","R_0402_1005Metric",13.185000,-92.224000,180.000000,top
"R102","523k","R_0402_1005Metric",53.118573,-24.056773,0.000000,top
"R103","84k5","R_0402_1005Metric",55.150573,-24.056773,0.000000,top
"R109","162k","R_0402_1005Metric",57.028573,-22.881773,0.000000,top
"R114","13k","R_0402_1005Metric",53.893773,-13.822373,90.000000,top
"R119","36k5","R_0402_1005Metric",57.729173,-17.427173,-90.000000,top
"R120","11k8","R_0402_1005Metric",56.636973,-17.427173,-90.000000,top
"RV1","391KD14J","RV_Disc_D15.5mm_W6.1mm_P7.5mm",24.858573,-124.516773,0.000000,top
"SW1","BOOT","SW_SPST_FSMSM",123.560000,-103.393000,0.000000,top
"SW3","SW_SPDT","SS-12D06L5",42.643573,-144.411773,0.000000,top
"TR1","30F-51NL","Transformer_Ethernet_YDS_30F-51NL_SO-24_7.1x15.1mm",96.153573,-122.550183,-90.000000,top
"TR2","30F-51NL","Transformer_Ethernet_YDS_30F-51NL_SO-24_7.1x15.1mm",78.568573,-122.480183,-90.000000,top
"U1","HLK-7628","HLK-7628",90.368573,-99.631773,180.000000,top
"U2","BD82006FVJ-M","BD82006FVJ-MGE2",113.478221,-65.612672,0.000000,top
"U3","1759547-1","1759547-1",101.398998,-55.217601,0.000000,top
"U4","TPS23861","TSSOP-28_4.4x9.7mm_P0.65mm",103.367991,-82.719273,0.000000,top
"U5","STM32F030C8Tx","LQFP-48_7x7mm_P0.5mm",79.351980,-79.271773,-90.000000,top
"U6","TPD2EUSB30","SOT-723",104.091998,-49.329419,0.000000,top
"U7","NOPOP","SIM-ST-MFF2_HOL-M",120.240578,-17.737593,180.000000,top
"U8","M24C16-RMN6TP","SOIC127P600X175-8N",77.118573,-57.416773,0.000000,top
"U9","FSA2567MPX","MLP16",121.904464,-23.107593,90.000000,top
"U10","TPS54360BDDAR","SOIC127P600X170-9N",23.533573,-19.642973,90.000000,top
"U11","AHT10","AHT_QFN",67.154000,-126.499000,180.000000,top
"U12","74HC04PW_118","TSSOP14_74HC04_NEX",92.913573,-83.296773,0.000000,top
"U13","ME6214C50","SOT-23-5",14.694000,-104.537000,0.000000,top
"U22","TPS54360BDDAR","SOIC127P600X170-9N",53.257521,-19.636973,90.000000,top
"U26","IRM-60-48","IRM-60",44.495964,-78.661773,-90.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",80.851980,-64.481773,180.000000,top
"Y3","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",79.851980,-67.671773,0.000000,top
